Area,Year,Top10,Top5,Top1,Top0.5,Top0.1,Top0.01,Atkin05,Gini,RMeanDev,Theil,Small Businesses As % of Total Number of Businesses,Small Business Share of Employment,Total Firms Per Capita,HighSchool Grads As % of Total Population,College Grads As % of Total Population,Real GDP Per Capita,Real GDP Per Capita (% Change),Real GDP in Millions of 2009 US Dollars,Real GDP (% Change)," Agriculture, Forestry & Fishing (Millions of US Dollars) ", All Industry Total , Construction ," Finance, Insurance & Real Estate ", Government , Manufacturing , Mining , Retail Trade , Services ,Transportation and public utilities,Wholesale trade,Agshare,Constructionshare,FIREshare,Governmentshare,Manufacturingshare,Miningshare, RetailTradeshare , Serviceshare ,Transhare,Wholesaleshare,Numberofpoor,Povertyrate, % Union Members Total , % Union Coverage Total , % Union Members Private Construction , % Union Coverage Private Construction , % Union Members Private Manufacturing , % Union Coverage Private Manufacturing , % Union Members Private , % Union Coverage Private , % Union Members Public , % Union Coverage Public , Right to Work Dummy , Population , Land Area (Sq. Miles) , Density (People per Sq. Mile) , Ethnic Minorities as a Percentage of Total Pop ,Total Revenue,Total Taxes,Total Gen Sales Tax (T09),Total Select Sales Tax,Total Income Taxes,Individual Income Tax (T40),Corp Net Income Tax (T41),Total Expenditure,Public Welf-Total Exp,Construction,Manufacturing,Forestry & Fishing,Wholesale Trade,Retail Trade,"Finance, Insurance & Real Estate",Mining,Transportation and Utilities,Services,Government & Government Enterprises,Personal Income,Incorporated Self Employed,Un-incorporated Self Employed,Total Self Employed
Louisiana,2004,40.67,29.70,14.09,10.68,5.72,2.22,0.26,0.63,0.82,0.65,95.35,0.400516727, 0.0182477 ,56.63%,14.50%,42552.76276,3,193710.3037,3.7," 1,513.00 "," 172,623.00 "," 7,491.00 "," 20,811.00 "," 21,903.00 "," 38,724.00 "," 14,519.00 ",11219,11778,9882,8178,0.008764765,0.043395144,0.120557516,0.12688344,0.224327002,0.084108143,0.06499134,0.06822961,0.057246138,0.047374915,748,18.3,7.6,9.3,6.5,6.5,16.4,17.7,4.8,5.2,20.3,27.1, 1 ,4552238," 52,378 ", 86.91 ,0.359006273,23451376,7741289,2680716,1640590,2428783,2192038,236745,20482301,4122416,6421266,10624733,344429,344429,6492398,4511999,4771633,4905395,27242670,18986392,125152478,"68,532","151,459",219991
Maine,2004,40.21,29.52,14.34,10.86,5.79,2.24,0.24,0.57,0.77,0.60,95.72,0.438446878, 0.0269356 ,65.18%,16.86%,38112.03991,2.9,50067.32949,3.5, 678.00 ," 44,617.00 "," 2,459.00 "," 8,808.00 "," 6,308.00 "," 4,927.00 ", 8.00 ,4187,3617,1740,2450,0.015196002,0.055113522,0.197413542,0.141381088,0.11042876,0.000179304,0.093843154,0.081067754,0.038998588,0.054911805,166,12.6,11.3,13.2,3.1,3.6,22.1,22.7,5.9,6.5,39.6,47.8, -   ,1313688," 35,380 ", 37.13 ,0.034625421,8447366,2975525,917248,478402,1271644,1160028,111616,7305731,2286375,2431447,3453760,497883,497883,2880716,1988906,5366,913782,9615681,5413488,42132540,"24,794","68,802",93596
Maryland,2004,40.27,30.47,16.30,12.62,7.10,2.96,0.29,0.54,0.81,0.82,95.34,0.375885556, 0.0202396 ,63.43%,23.83%,50061.94847,3.6,277690.3741,4.6, 878.00 ," 247,461.00 "," 14,440.00 "," 52,340.00 "," 49,159.00 "," 15,303.00 ", 249.00 ,15175,31928,9367,12187,0.003548034,0.058352629,0.211508076,0.198653525,0.061840048,0.001006219,0.061322794,0.129022351,0.037852429,0.049248164,542,9.7,10.9,12.5,12.4,14.9,7.7,10.7,6.0,7.1,27.0,30.4, -   ,5546935," 12,406 ", 447.12 ,0.36090093,28536118,12227428,2707140,2248321,5847544,5277844,569700,25202230,5490400,12872282,10202458,108222,108222,10439854,13734862,127636,4819239,55552028,36767960,230472764,"108,987","160,894",269881
Massachusetts,2004,48.79,38.55,21.96,17.52,10.57,4.87,0.33,0.57,0.86,1.02,95.75,0.347294853, 0.0228204 ,65.29%,25.70%,57687.46059,2.2,369908.2075,2.1, 675.00 ," 329,640.00 "," 14,179.00 "," 79,442.00 "," 36,236.00 "," 37,326.00 ", 152.00 ,17035,47803,9226,18249,0.002047688,0.043013591,0.240996238,0.10992598,0.113232617,0.000461109,0.051677588,0.145015775,0.027988108,0.055360393,641,10.1,13.5,14.7,24.7,26.3,7.8,8.3,7.7,8.6,52.5,56.4, -   ,6412281," 10,554 ", 607.57 ,0.134309148,41774066,16839243,3743204,1859410,10131410,8830334,1301076,36981953,10552819,14121515,24687771,490478,490478,13251249,26215207,159611,5542514,80645278,27043242,274807343,"96,020","242,835",338855
Michigan,2004,42.52,30.00,15.45,11.89,6.59,2.69,0.26,0.57,0.80,0.65,96.38,0.369998927, 0.0192624 ,63.37%,16.36%,42803.0491,-0.6,430398.1417,-0.4," 2,488.00 "," 383,545.00 "," 17,010.00 "," 66,566.00 "," 42,987.00 "," 80,799.00 ", 733.00 ,25714,48074,15712,22176,0.006486853,0.044349424,0.173554602,0.112078113,0.210663677,0.001911119,0.067042981,0.125341225,0.040965206,0.057818509,1196,12,21.6,22.4,29.5,30.1,30.4,31.3,15.9,16.6,55.9,57.9, -   ,10055315," 96,714 ", 103.97 ,0.188010321,55557297,22647281,7894458,2949792,7714375,5873365,1841010,52489571,9950158,14937161,50965982,292803,292803,15596139,18028116,493451,9281083,75725500,37218326,323453268,"180,806","284,938",465744
Minnesota,2004,42.08,30.81,16.68,12.98,7.39,3.13,0.28,0.55,0.80,0.78,95.84,0.361226697, 0.0242158 ,69.04%,22.52%,51149.30029,2.6,260232.96,3.3," 4,247.00 "," 231,904.00 "," 12,216.00 "," 48,071.00 "," 23,880.00 "," 34,523.00 ", 758.00 ,14321,26645,10329,14847,0.018313613,0.05267697,0.207288361,0.102973644,0.148867635,0.003268594,0.061754002,0.114896681,0.044539982,0.064022182,412,8.1,17.5,18.3,28.9,29.9,13.5,14.1,11.1,11.6,53.0,55.5, -   ,5087713," 86,936 ", 58.52 ,0.106134328,29708220,14734921,4066790,2317528,6346767,5709584,637183,28226351,7486297,10354789,23038483,353226,353226,9202229,14313429,382934,6599794,42623805,20568366,188490101,"134,698","222,699",357397
Mississippi,2004,39.75,28.82,13.00,9.98,5.26,2.00,0.24,0.64,0.78,0.57,94.72,0.370418167, 0.0167621 ,59.50%,13.21%,30362.64299,1.5,87717.97922,2.2," 2,598.00 "," 78,169.00 "," 3,622.00 "," 10,460.00 "," 13,736.00 "," 12,457.00 ", 956.00 ,6758,4814,4872,4022,0.033235682,0.046335504,0.133812637,0.175721833,0.159359849,0.012229912,0.086453709,0.061584516,0.062326498,0.051452622,571,20.1,4.8,6.3,5.0,5.0,6.8,7.9,4.0,4.6,7.5,12.6, 1 ,2889010," 48,432 ", 59.65 ,0.385392228,15351077,5124730,2482908,908294,1305550,1061704,243846,14263288,3981710,2884485,7982065,440084,440084,3906306,2173724,539136,2669790,13418222,11576459,72400140,"33,732","95,037",128769
Missouri,2004,40.51,29.75,15.48,12.04,6.85,2.90,0.26,0.59,0.80,0.69,95.67,0.362487766, 0.0218314 ,63.69%,18.88%,42150.18221,1.5,242268.3305,2.2," 3,631.00 "," 215,895.00 "," 10,312.00 "," 36,831.00 "," 26,272.00 "," 32,265.00 ", 661.00 ,14921,23665,10862,13438,0.016818361,0.047763959,0.170596818,0.121688784,0.149447648,0.003061673,0.0691123,0.10961347,0.050311494,0.06224322,659,11.6,12.4,14.0,29.0,30.4,19.3,19.9,10.9,11.6,20.9,28.1, -   ,5747741," 69,707 ", 82.46 ,0.149049688,26237744,9119664,2950055,1518453,3945115,3720749,224366,22038965,5657912,9672653,18511068,354457,354457,9640148,9297828,266934,6570462,42385427,22607724,181545945,"88,590","214,098",302688
Montana,2004,40.76,30.57,15.02,11.54,6.38,2.59,0.25,0.65,0.82,0.62,96.47,0.564095724, 0.0328255 ,68.62%,17.82%,33759.74044,2.7,31396.86245,3.9," 1,214.00 "," 27,979.00 "," 1,810.00 "," 4,453.00 "," 4,768.00 "," 1,834.00 "," 1,034.00 ",2099,1813,1964,1572,0.043389685,0.064691376,0.159155081,0.170413524,0.065549162,0.036956289,0.075020551,0.064798599,0.070195504,0.056184996,128,13.8,11.7,12.6,15.9,15.9,11.3,11.3,5.5,6.1,32.8,35.0, -   ,930009," 147,040 ", 6.32 ,0.092315236,5349008,1625692,0,437051,673305,605582,67723,4691318,762029,1602772,897166,167671,167671,1586829,1034800,434377,1007244,5534557,4051568,26159065,"26,552","65,537",92089
Nebraska,2004,36.57,27.24,14.79,11.75,7.02,3.19,0.26,0.59,0.80,0.69,94.83,0.37288893, 0.0241138 ,65.92%,16.28%,45750.50588,1.2,80034.56247,1.8," 4,468.00 "," 71,322.00 "," 3,222.00 "," 12,501.00 "," 9,695.00 "," 7,686.00 ", 107.00 ,4898,5957,6370,4095,0.062645467,0.045175402,0.175275511,0.135932812,0.107764785,0.001500238,0.068674462,0.083522616,0.089313255,0.057415664,167,9.5,8.3,10.0,12.5,12.5,10.8,13.3,5.0,5.7,23.7,30.2, 1 ,1749370," 77,348 ", 22.62 ,0.083098487,8348696,3639811,1524591,463487,1410032,1242603,167429,6974335,1899089,3020280,4999704,92856,92856,2965722,3523317,98043,3352860,12062625,7836191,58506442,"29,899","91,036",120935
Nevada,2004,55.54,45.87,30.96,26.79,19.51,11.77,0.35,0.61,0.89,1.22,92.70,0.299242376, 0.0198114 ,60.73%,15.74%,49476.46488,6.1,116082.7704,10.7, 246.00 ," 103,446.00 "," 9,549.00 "," 21,364.00 "," 11,120.00 "," 4,483.00 "," 1,756.00 ",7615,10301,5227,4194,0.002378052,0.092309031,0.20652321,0.107495698,0.04333662,0.01697504,0.073613286,0.099578524,0.050528778,0.040542892,260,10.6,12.5,14.3,15.6,16.2,2.7,2.7,10.0,11.0,31.7,39.6, 1 ,2346222," 110,572 ", 21.22 ,0.183453654,10196550,4716660,2242532,1559853,0,0,0,8575428,1292137,7426307,2595208,16727,16727,4620740,4002636,916710,2677788,25544108,9623500,83711491,"50,777","64,666",115443
New Hampshire,2004,41.84,30.75,16.55,12.84,7.26,3.05,0.28,0.54,0.80,0.75,94.54,0.413583641, 0.0256480 ,65.80%,23.31%,46228.57897,2.4,59640.46053,3.2, 225.00 ," 53,148.00 "," 2,695.00 "," 11,098.00 "," 6,286.00 "," 6,900.00 ", 51.00 ,4500,5459,1930,3241,0.004233461,0.050707458,0.208813126,0.1182735,0.129826146,0.000959585,0.084669226,0.102713178,0.03631369,0.060980658,73,5.6,9.9,11.0,12.8,12.8,5.3,6.3,4.8,5.2,41.4,47.6, -   ,1290121," 9,349 ", 138.00 ,0.041713917,5746557,1990926,0,674354,462372,54769,407603,5538549,1441935,3286746,5225280,79878,79878,4400373,2761181,32242,920697,11499349,4612391,51105354,"22,290","54,450",76740
New Jersey,2004,46.11,36.67,19.68,15.36,8.79,3.75,0.32,0.57,0.87,0.98,96.61,0.369476457, 0.0240233 ,64.28%,23.40%,55097.4517,1.4,475742.3076,1.8, 684.00 ," 423,953.00 "," 17,782.00 "," 98,427.00 "," 47,636.00 "," 45,438.00 ", 250.00 ,27502,55606,19700,34097,0.001613386,0.041943329,0.232164886,0.112361512,0.107176975,0.000589688,0.064870398,0.131160765,0.046467415,0.080426368,592,6.8,19.8,21.6,31.6,32.1,11.8,12.9,11.6,12.7,62.3,67.8, -   ,8634561," 8,723 ", 989.86 ,0.233858907,51041285,20986204,6261700,3478584,9297731,7400733,1896998,48975600,10272122,16094872,26349951,133449,133449,18231894,27542976,191960,12056743,85812022,42814225,379117636,"189,226","211,348",400574
New Mexico,2004,41.01,29.36,13.72,10.34,5.45,2.07,0.25,0.62,0.81,0.59,93.94,0.432625531, 0.0192325 ,59.05%,16.09%,41331.29525,4.8,78686.85055,6.2," 1,248.00 "," 70,121.00 "," 2,993.00 "," 8,800.00 "," 16,761.00 "," 8,983.00 "," 5,232.00 ",4506,6321,2688,2346,0.017797807,0.042683362,0.125497355,0.239029677,0.128107129,0.074613882,0.06426035,0.090144179,0.038333737,0.033456454,347,17.9,6.7,8.9,4.5,4.5,7.4,8.7,3.4,4.1,16.1,22.9, -   ,1903808," 121,590 ", 15.66 ,0.15459332,11845096,4001780,1443300,595140,1145444,1007248,138196,11233417,2492564,2564379,1931870,95483,95483,2959826,1742985,1075973,1385964,11846349,11153789,51749008,"31,593","78,235",109828
New York,2004,56.24,45.15,28.56,23.94,16.17,8.76,0.36,0.64,0.93,1.21,97.40,0.36802792, 0.0230126 ,63.25%,21.17%,55854.49941,3.1,1070818.278,3.1," 2,109.00 "," 954,249.00 "," 31,293.00 "," 279,661.00 "," 116,412.00 "," 63,940.00 ", 563.00 ,51102,115301,33314,49042,0.002210115,0.032793328,0.293069209,0.121993316,0.067005572,0.000589993,0.05355206,0.12082905,0.034911223,0.051393295,2760,14.5,25.3,26.4,28.2,28.9,17.1,17.8,15.1,16.0,70.2,72.5, -   ,19171567," 54,555 ", 351.42 ,0.26493682,138563422,45826429,10050291,6428674,26691729,24647225,2044504,132897176,41154459,25840283,38948761,264295,264295,31872694,106117697,683759,19865514,200228605,104900921,759622890,"298,604","627,726",926330
North Carolina,2004,41.88,30.55,15.57,11.89,6.48,2.58,0.27,0.59,0.81,0.71,96.04,0.356857982, 0.0198776 ,57.96%,15.23%,43636.25845,1.8,373227.5512,3.4," 4,260.00 "," 332,598.00 "," 16,211.00 "," 63,767.00 "," 44,973.00 "," 68,800.00 ", 676.00 ,19822,30660,13089,17997,0.012808255,0.048740522,0.191723943,0.135217289,0.206856325,0.002032484,0.059597472,0.092183356,0.039353815,0.054110367,1115,13.1,2.7,3.6,0.8,0.8,1.7,2.4,1.6,2.2,8.9,10.8, 1 ,8553152," 53,819 ", 158.92 ,0.263289604,44371161,16836454,4351822,2917379,8348063,7510978,837085,37094848,8800027,13319566,31592729,508297,508297,14152107,13534799,-17776,7480365,54225071,38463951,261816800,"145,211","272,978",418189
North Dakota,2004,36.40,26.80,12.90,9.76,5.20,2.00,0.23,0.59,0.77,0.55,94.20,0.443768986, 0.0272559 ,67.35%,17.07%,40722.51916,-0.2,26254.01172,0.8," 1,581.00 "," 23,396.00 "," 1,065.00 "," 3,736.00 "," 3,752.00 "," 2,144.00 ", 490.00 ,1686,1273,1596,1818,0.067575654,0.045520602,0.159685416,0.160369294,0.091639597,0.020943751,0.072063601,0.05441101,0.068216789,0.077705591,70,11.2,7.7,9.0,12.0,12.8,9.8,10.2,4.1,4.5,20.2,24.4, 1 ,644705," 70,698 ", 9.12 ,0.081049472,5233626,1228890,367304,299434,263789,213982,49807,3254983,683035,1031887,1149035,101324,101324,1149447,783932,241855,909964,3849768,3227927,19195772,"10,588","41,704",52292
Ohio,2004,40.36,29.66,15.29,11.85,6.67,2.79,0.25,0.56,0.77,0.64,95.91,0.34734225, 0.0184632 ,63.54%,16.29%,44176.12028,2.8,505916.0177,2.9," 2,806.00 "," 450,842.00 "," 18,259.00 "," 86,614.00 "," 52,677.00 "," 89,501.00 "," 1,947.00 ",31776,45515,19820,25567,0.00622391,0.040499776,0.192116085,0.116841377,0.198519659,0.004318586,0.070481455,0.100955545,0.043962186,0.056709446,1392,12.3,15.2,16.4,19.5,20.3,22.1,23.1,10.5,11.2,45.7,50.5, -   ,11452251," 44,826 ", 255.48 ,0.150238848,76327857,22475528,7881510,2901794,9765755,8705161,1060594,58679448,13558685,16737148,51421053,312244,312244,19624721,19248790,1039878,11889387,83454341,45064463,362702364,"174,408","328,136",502544
Oklahoma,2004,40.51,30.77,16.34,13.08,7.95,3.70,0.26,0.62,0.81,0.72,95.53,0.403822289, 0.0202911 ,61.59%,14.68%,36339.6044,2.4,128105.5726,3," 2,459.00 "," 114,160.00 "," 4,516.00 "," 16,451.00 "," 18,396.00 "," 12,795.00 "," 10,627.00 ",8074,9506,6550,6018,0.021539944,0.039558514,0.144104765,0.161142256,0.112079537,0.093088648,0.070725298,0.083269096,0.057375613,0.052715487,543,15.6,6.1,7.1,4.1,4.1,9.2,9.5,3.5,3.9,17.4,21.1, 1 ,3525233," 69,899 ", 50.43 ,0.222716342,17663835,6426713,1594246,744782,2452432,2319123,133309,14959183,3535549,4101725,7972648,160128,160128,5020188,3783173,6224518,3730201,20650631,15118963,101088757,"65,044","142,375",207419
Oregon,2004,42.54,30.94,15.68,11.98,6.53,2.61,0.26,0.58,0.81,0.68,95.84,0.420355843, 0.0247973 ,65.87%,17.73%,44803.79505,8.4,159925.4887,9," 3,388.00 "," 142,516.00 "," 6,155.00 "," 24,324.00 "," 18,609.00 "," 30,943.00 ", 224.00 ,8084,12320,5931,9140,0.023772769,0.043188133,0.170675573,0.130574813,0.217119481,0.001571753,0.056723456,0.086446434,0.04161638,0.06413315,436,12,15.2,16.5,10.9,10.9,9.8,9.8,8.1,8.8,53.2,58.3, -   ,3569463," 98,379 ", 36.28 ,0.09606515,24488705,6103071,0,748882,4590805,4270740,320065,18587228,3517473,5780670,12335148,1213510,1213510,6487878,5458426,101318,3552213,25233799,15465620,112209856,"62,918","177,674",240592
Pennsylvania,2004,42.63,31.26,16.59,12.86,7.26,3.04,0.28,0.58,0.82,0.76,96.21,0.351445572, 0.0194360 ,64.42%,17.74%,43570.74792,1.6,540744.4397,1.9," 3,120.00 "," 481,879.00 "," 21,451.00 "," 88,039.00 "," 54,106.00 "," 72,029.00 "," 2,824.00 ",30571,54990,24226,28538,0.006474654,0.044515324,0.182699391,0.112281299,0.149475283,0.005860392,0.063441237,0.114115784,0.050274031,0.059222336,1372,11.2,15.0,15.9,20.0,20.0,19.2,19.6,9.7,10.1,49.1,53.1, -   ,12410722," 46,054 ", 269.48 ,0.142800636,69212674,25346879,7773133,4756518,9001362,7323364,1677998,56969147,16772449,20364940,41553593,582336,582336,22706603,25225985,2174993,14763244,107931348,47056556,433338099,"175,618","416,439",592057
Rhode Island,2004,44.39,31.99,16.94,13.10,7.35,3.06,0.27,0.56,0.81,0.73,94.35,0.414804489, 0.0246971 ,60.43%,18.85%,45439.62511,3.6,48828.46691,3.9, 89.00 ," 43,513.00 "," 2,210.00 "," 9,784.00 "," 6,452.00 "," 4,764.00 ", 27.00 ,2710,4182,1248,2237,0.002045366,0.050789419,0.224852343,0.148277526,0.109484522,0.000620504,0.062280238,0.096109209,0.028681084,0.051409923,127,12.1,16.3,17.0,24.0,25.4,10.0,11.0,8.8,9.4,60.6,61.7, -   ,1074579," 1,545 ", 695.52 ,0.116513537,7302288,2408861,804647,500727,969418,899939,69479,6373515,1940925,1778975,3193802,80355,80355,1984947,2371518,10884,596048,9336260,4797018,38423751,"19,957","32,150",52107
South Carolina,2004,43.03,31.52,15.71,12.02,6.58,2.64,0.26,0.60,0.80,0.65,95.13,0.366767207, 0.0192549 ,59.54%,16.33%,36475.48711,-0.8,153595.3947,0.7," 1,385.00 "," 136,875.00 "," 8,104.00 "," 21,343.00 "," 22,132.00 "," 24,344.00 ", 262.00 ,11178,12067,6705,7669,0.010118721,0.059207306,0.155930594,0.161694977,0.177855708,0.001914155,0.081665753,0.088160731,0.048986301,0.056029224,626,15,3.0,4.2,0.0,0.0,4.5,4.5,2.6,2.9,5.2,10.4, 1 ,4210921," 32,020 ", 131.51 ,0.317953721,21814644,6803568,2726657,963329,2635222,2438712,196510,21550915,4936352,6417687,13977129,279886,279886,6954902,5282850,90313,3544228,23435892,17538216,117121439,"70,637","111,529",182166
South Dakota,2004,36.31,27.89,15.02,11.95,7.16,3.26,0.26,0.62,0.81,0.70,94.72,0.459537028, 0.0276871 ,62.17%,16.01%,44847.23026,2.4,34550.1268,3.3," 2,614.00 "," 30,789.00 "," 1,246.00 "," 7,754.00 "," 3,975.00 "," 2,931.00 ", 84.00 ,2205,1504,1243,1659,0.084900451,0.040468999,0.251843191,0.12910455,0.095196336,0.002728247,0.071616486,0.048848615,0.040371561,0.05388288,90,11.8,6.0,7.7,4.3,4.3,7.6,8.8,2.9,3.6,19.3,25.7, 1 ,770396," 77,116 ", 9.99 ,0.117806946,3863620,1062722,586389,278873,47108,0,47108,3027787,698864,1203440,1803030,86229,86229,1378929,1324305,42044,681146,4960788,3392376,24781741,"13,958","48,615",62573
Tennessee,2004,43.24,32.75,17.64,13.95,8.23,3.68,0.27,0.60,0.82,0.76,94.63,0.322811188, 0.0172536 ,63.23%,16.91%,41869.75446,3.2,247484.1215,4.3," 1,474.00 "," 220,543.00 "," 8,719.00 "," 33,843.00 "," 25,986.00 "," 41,192.00 ", 624.00 ,17306,22162,11932,14777,0.006683504,0.03953424,0.153453068,0.117827362,0.186775368,0.00282938,0.078469958,0.10048834,0.054102828,0.067002807,872,14.9,6.7,7.7,7.4,7.4,10.4,11.2,4.9,5.3,16.5,21.5, 1 ,5910809," 42,144 ", 140.25 ,0.194929662,23907277,9529171,5845206,1499456,834789,139991,694798,22250066,8357217,8933532,23429594,1013174,1013174,10880462,9895355,118863,8384479,46164787,20877987,180011461,"62,551","228,592",291143
Texas,2004,44.50,33.44,18.68,14.87,8.91,4.07,0.30,0.62,0.87,0.89,96.63,0.342714396, 0.0170415 ,53.73%,15.23%,46239.74271,3.2,1035493.862,4.9," 9,836.00 "," 922,770.00 "," 48,046.00 "," 131,662.00 "," 106,045.00 "," 142,053.00 "," 73,368.00 ",58864,87879,52771,61969,0.010659211,0.052067146,0.142681275,0.114920294,0.153941936,0.079508437,0.063790544,0.095233915,0.057187598,0.067155413,3681,16.2,5.0,6.3,3.1,3.4,7.3,8.3,2.7,3.3,17.1,21.9, 1 ,22394023," 268,596 ", 83.37 ,0.171951909,90489755,30751860,15460221,9160557,0,0,0,77163705,18613103,38219523,60905221,964506,964506,36212416,39647589,32209241,31565337,164259628,86920600,684161109,"277,995","917,864",1195859
Utah,2004,40.01,29.55,15.78,12.38,7.17,3.12,0.27,0.58,0.80,0.72,94.83,0.36597528, 0.0221625 ,58.42%,16.96%,40415.50473,2.9,97061.06785,4.7, 608.00 ," 86,495.00 "," 4,749.00 "," 18,216.00 "," 13,063.00 "," 10,029.00 "," 1,509.00 ",6625,8107,4276,4371,0.007029308,0.054904908,0.210601769,0.151026071,0.115948899,0.017446095,0.076594023,0.093727961,0.049436384,0.050534713,232,9.2,5.8,6.7,8.6,9.3,0.9,1.2,2.9,3.5,19.5,21.6, 1 ,2401580," 84,897 ", 28.29 ,0.066824757,13167850,4195962,1560902,581338,1837040,1692035,145005,10794264,1992986,3807643,6018584,42002,42002,4198793,3664875,452804,2684061,14875064,10600214,64580222,"50,331","82,694",133025
Vermont,2004,39.62,28.61,14.20,10.74,5.71,2.20,0.25,0.57,0.79,0.63,95.02,0.477015758, 0.0314605 ,68.39%,23.94%,40797.52232,3.3,25291.20004,3.6, 365.00 ," 22,538.00 "," 1,170.00 "," 3,988.00 "," 3,164.00 "," 2,906.00 ", 87.00 ,1917,1790,959,1155,0.016194871,0.051912326,0.176945603,0.140385127,0.128937794,0.003860147,0.085056349,0.079421422,0.042550359,0.051246783,47,7.6,9.8,11.4,3.4,3.4,3.1,3.7,4.2,4.8,41.8,49.0, -   ,619920," 9,616 ", 64.47 ,0.034798038,4302590,1766719,256958,430637,492045,429817,62228,3913616,1015398,1320326,2146599,66242,66242,1341310,832444,40149,565932,5120173,2712823,21105387,"13,829","34,285",48114
Virginia,2004,40.92,30.37,15.65,11.91,6.43,2.53,0.29,0.55,0.82,0.79,95.67,0.347563323, 0.0201142 ,65.43%,22.58%,49598.12637,2.4,370774.5135,3.9," 1,565.00 "," 330,412.00 "," 17,730.00 "," 57,307.00 "," 61,337.00 "," 33,712.00 "," 1,546.00 ",20072,51792,12808,14225,0.004736511,0.053660279,0.173441037,0.185637931,0.102030193,0.004679007,0.060748399,0.156749755,0.038763725,0.04305231,684,9.2,5.3,6.6,2.1,2.1,8.3,9.4,3.4,4.1,13.1,16.5, 1 ,7475575," 42,775 ", 174.77 ,0.266305267,35656138,14233065,2977401,2234662,7844190,7422071,422119,30352413,5618854,16002392,17041875,334165,334165,13075697,15874492,523535,7312960,70693616,50276510,284567184,"138,415","218,956",357371
Washington,2004,43.64,32.22,17.98,14.21,8.38,3.74,0.29,0.56,0.81,0.82,96.33,0.409518567, 0.0232561 ,65.00%,19.92%,49341.47104,0.4,304863.4334,1.6," 5,243.00 "," 271,676.00 "," 12,572.00 "," 49,169.00 "," 39,923.00 "," 31,475.00 ", 331.00 ,19765,28013,10644,15930,0.019298723,0.046275711,0.180983966,0.14695078,0.115854915,0.001218363,0.072752102,0.103111795,0.039179022,0.058636022,636,10.2,19.3,20.3,24.6,24.6,16.6,16.8,13.2,13.7,46.8,50.1, -   ,6178645," 71,298 ", 86.66 ,0.153717037,35055610,13895346,8423160,2441440,0,0,0,32479709,6422900,11771920,18433748,1451337,1451337,11656118,13278658,266148,6550178,47195438,32766313,226511608,"110,948","256,438",367386
West Virginia,2004,42.62,30.09,12.72,9.74,4.91,1.75,0.22,0.58,0.74,0.48,94.46,0.401229998, 0.0181217 ,61.76%,11.02%,30523.86664,1.7,55444.71127,1.9, 264.00 ," 49,409.00 "," 2,186.00 "," 6,447.00 "," 8,626.00 "," 5,800.00 "," 3,747.00 ",4038,3140,3124,2490,0.005343156,0.044242952,0.130482301,0.174583578,0.11738752,0.075836386,0.081726001,0.063551175,0.063227347,0.050395677,276,15.4,14.2,15.7,23.8,25.1,21.1,22.4,10.5,11.4,29.4,33.6, -   ,1816438," 24,230 ", 74.97 ,0.050796669,11112803,3749013,1021365,1071888,1249727,1068212,181515,9879217,2294466,2059777,3690405,125987,125987,2399938,1267471,1651801,1716672,9776275,6725221,46491347,"19,285","40,344",59629
Wisconsin,2004,39.41,28.69,15.20,11.85,6.77,2.89,0.26,0.55,0.78,0.66,95.77,0.378275937, 0.0213360 ,64.70%,17.20%,44103.82219,2.4,243189.6223,3.1," 3,816.00 "," 216,716.00 "," 10,149.00 "," 39,678.00 "," 24,500.00 "," 45,262.00 ", 384.00 ,14560,17536,10428,12041,0.017608298,0.046830875,0.183087543,0.113051182,0.208853984,0.001771904,0.067184703,0.08091696,0.048118275,0.055561195,553,10.2,16.0,16.9,23.6,23.6,18.0,19.0,10.4,11.0,52.1,55.9, -   ,5514026," 65,496 ", 84.19 ,0.101926614,34883382,12638266,3899395,1721642,5933180,5251190,681990,28577240,5908896,9556734,29506733,337264,337264,9502989,10064744,205038,6451785,37391766,21423330,183318375,"110,690","201,391",312081
Wyoming,2004,46.05,37.47,24.73,21.35,15.45,9.24,0.33,0.62,0.87,1.09,94.86,0.54601836, 0.0334056 ,65.85%,14.49%,52249.94123,2.7,26600.75858,3.8, 455.00 ," 23,705.00 "," 1,273.00 "," 2,722.00 "," 3,618.00 "," 1,347.00 "," 6,151.00 ",1452,997,1918,914,0.019194263,0.053701751,0.114828095,0.152626028,0.056823455,0.259481122,0.0612529,0.042058637,0.0809112,0.038557266,54,10.6,8.0,9.8,5.9,5.9,11.0,12.8,5.3,6.1,17.0,22.2, 1 ,509106," 97,813 ", 5.20 ,0.054917836,4609487,1504777,462842,111162,0,0,0,3596252,501003,1092939,511418,42444,42444,839704,406260,1532201,842123,2676924,3070735,17805527,"13,234","31,740",44974
